Player,IFPA Rank,MPLB,Restriction,Fall 2019 Team,IFPA_ID,Matchplay_ID
Lauren McNeil,11527,1362,,Outer Orbit Otters,1316,37640
Brandy Nicole Thompson,10295,1351,,Outer Orbit Otters,40156,1844
Christian Gainsley,9822,1345,,Outer Orbit Otters,52910,3241
Elisabeth Kohnke,13436,1294,,Outer Orbit Otters,56016,
Jeff C Jenson,N/A,N/A,,Outer Orbit Otters,,
Travis Mackin,N/A,N/A,,Outer Orbit Otters,,
Michael Szabo,15274,1231,,Outer Orbit Otters,24780,12639
Mike Miller,,,,,26157,161
Allison O'Neil,,,,,19302,181
Bryn Garrehy,,,,,64509,
Danny Zhang,,,,,44734,1667
Gilbert Amar,,,,,62268,7871
Janel Valdez,,,,,45062,1761
Justin Guevara,,,,,67154,5286
Louise Wagensonner,,,,,19305,677
Luke Baxter,,,,,48658,2874
Megan Doak,,,,,,
Nicholas Sternhagen,,,,,,
Per Schwarzenberger,,,,,12220,2
Tom Miller,,,,,53128,4125
